Timestamp(ms),Current(uA)
0,1473.392
10,542.320
20,199.628
30,73.498
40,27.070
50,9.986
60,3.701
70,1.387
80,0.531
90,0.216
100,0.099
110,0.056
120,0.038
130,0.034
140,0.030
150,0.033
160,0.036
170,0.038
180,0.034
190,0.035
200,0.031
210,0.033
220,0.032
230,0.032
240,0.030
250,0.030
260,0.031
270,0.032
280,0.033
290,0.033
300,0.029
310,0.030
320,0.029
330,0.028
340,0.029
350,0.030
360,0.034
370,0.032
380,0.032
390,0.032
400,0.034
410,0.032
420,0.030
430,0.029
440,0.026
450,0.026
460,0.025
470,0.025
480,0.022
490,0.024
500,0.022
510,0.023
520,0.021
530,0.022
540,0.021
550,0.019
560,0.016
570,0.018
580,0.017
590,0.018
600,0.019
610,0.018
620,0.016
630,0.014
640,0.012
650,0.012
660,0.012
670,0.011
680,0.009
690,0.011
700,0.010
710,0.010
720,0.010
730,0.009
740,0.008
750,0.009
760,0.008
770,0.007
780,0.008
790,0.006
800,0.009
810,0.007
820,0.007
830,0.009
840,0.008
850,0.006
860,0.005
870,0.007
880,0.007
890,0.007
900,0.008
910,0.008
920,0.007
930,0.007
940,0.007
950,0.006
960,0.005
970,0.006
980,0.005
990,0.005
1000,0.006
1010,0.005
1020,0.005
1030,0.004
1040,0.004
1050,0.004
1060,0.005
1070,0.004
1080,0.004
1090,0.004
1100,0.004
1110,0.003
1120,95290.750
1130,50235.996
1140,33719.957
1150,31286.875
1160,38347.207
1170,40790.453
1180,41561.383
1190,42022.309
1200,42209.555
1210,42311.254
1220,42372.422
1230,42380.336
1240,42403.086
1250,42410.734
1260,42432.152
1270,42475.805
1280,42449.934
1290,42256.199
1300,42821.230
1310,51170.953
1320,65043.648
1330,70532.742
1340,58727.168
1350,55967.039
1360,55055.676
1370,54726.207
1380,54636.609
1390,54620.543
1400,54609.020
1410,54650.594
1420,54705.957
1430,54729.207
1440,54764.656
1450,54803.289
1460,54832.102
1470,54843.797
1480,54867.469
1490,54890.688
1500,54925.254
1510,54937.184
1520,54974.258
1530,54988.262
1540,55001.176
1550,55019.156
1560,55050.887
1570,55070.914
1580,55090.668
1590,55131.441
1600,55133.574
1610,55147.156
1620,55165.320
1630,55178.574
1640,55196.090
1650,55220.039
1660,55240.398
1670,55262.813
1680,55287.809
1690,55302.934
1700,55330.758
1710,55352.195
1720,55366.949
1730,55384.797
1740,55381.656
1750,55372.848
1760,55415.039
1770,55438.859
1780,55460.344
1790,55457.840
1800,55448.879
1810,55466.891
1820,55497.324
1830,55519.461
1840,55513.105
1850,48574.766
1860,45418.477
1870,44247.043
1880,43816.641
1890,43655.027
1900,43574.535
1910,43554.703
1920,43550.848
1930,43552.574
1940,43553.082
1950,43474.875
1960,43257.059
1970,43168.676
1980,43117.762
1990,43112.336
2000,43085.480
2010,43066.016
2020,43063.531
2030,43047.406
2040,43039.426
2050,60726.754
2060,70441.539
2070,73724.211
2080,73291.102
2090,73601.188
2100,78092.641
2110,81797.461
2120,83361.695
2130,82615.805
2140,82577.188
2150,82955.891
2160,84334.570
2170,84640.797
2180,83136.211
2190,81246.516
2200,77228.406
2210,67390.766
2220,53193.836
2230,46698.387
2240,44315.859
2250,43434.441
2260,43101.266
2270,42961.793
2280,42923.957
2290,42885.105
2300,42878.199
2310,42857.754
2320,42863.266
2330,42951.938
2340,44618.273
2350,45452.711
2360,45576.824
2370,43978.977
2380,45434.469
2390,44424.750
2400,43499.117
2410,43161.402
2420,43050.945
2430,42992.875
2440,42975.758
2450,42936.859
2460,42923.590
2470,42908.234
2480,42891.066
2490,42887.609
2500,42885.148
2510,44476.648
2520,44425.273
2530,44495.223
2540,44492.117
2550,44133.605
2560,43415.500
2570,43163.371
2580,43062.941
2590,43022.516
2600,43008.438
2610,43001.863
2620,42987.871
2630,42968.129
2640,42960.391
2650,42963.324
2660,42954.703
2670,43182.941
2680,43030.758
2690,42969.246
2700,42947.379
2710,42938.836
2720,42921.504
2730,42904.039
2740,42903.410
2750,42897.246
2760,42884.883
2770,42895.730
2780,42890.938
2790,43197.746
2800,43010.168
2810,42933.465
2820,42880.926
2830,42870.477
2840,42876.242
2850,42862.125
2860,42857.078
2870,42854.949
2880,42840.945
2890,42830.992
2900,42837.645
2910,43146.066
2920,43850.840
2930,43211.020
2940,42975.785
2950,42870.547
2960,42834.211
2970,42817.676
2980,42805.719
2990,42796.039
3000,42794.262
3010,42788.617
3020,42785.746
3030,42789.480
3040,42994.469
3050,42845.445
3060,42797.863
3070,42782.574
3080,42749.117
3090,42750.387
3100,42752.355
3110,42751.051
3120,42757.574
3130,42767.766
3140,42760.113
3150,42744.488
3160,43613.969
3170,44754.520
3180,45172.039
3190,45323.336
3200,45375.090
3210,45396.246
3220,45407.598
3230,45390.398
3240,45408.598
3250,45393.668
3260,45382.176
3270,45373.738
3280,45384.359
3290,46468.137
3300,45796.109
3310,45544.363
3320,45430.504
3330,45384.766
3340,45385.277
3350,45384.168
3360,45361.586
3370,45373.227
3380,45358.250
3390,45378.625
3400,45359.355
3410,45606.859
3420,45441.707
3430,45367.262
3440,45359.363
3450,45363.969
3460,45356.465
3470,45332.578
3480,45337.754
3490,45331.820
3500,45329.914
3510,45340.363
3520,45310.504
3530,48585.184
3540,55291.891
3550,57737.113
3560,58618.531
3570,51432.645
3580,47565.922
3590,46132.535
3600,45606.469
3610,45400.988
3620,45336.480
3630,45300.645
3640,45288.828
3650,45282.082
3660,45270.781
3670,45281.242
3680,45281.371
3690,45535.707
3700,45383.645
3710,45325.609
3720,45302.813
3730,45282.332
3740,45285.141
3750,45278.086
3760,45274.965
3770,45270.457
3780,45275.820
3790,45271.270
3800,45272.777
3810,45603.543
3820,46314.352
3830,45645.402
3840,45401.176
3850,45306.164
3860,45281.715
3870,45272.441
3880,45261.973
3890,45267.191
3900,45246.266
3910,45261.379
3920,45246.176
3930,45242.793
3940,45495.574
3950,45338.414
3960,45279.285
3970,45263.691
3980,45237.410
3990,45239.016
4000,45233.027
4010,45239.352
4020,45237.395
4030,45235.008
4040,45225.152
4050,45228.234
4060,49617.918
4070,55407.926
4080,57803.320
4090,58539.438
4100,50766.453
4110,47257.988
4120,45976.895
4130,45503.418
4140,45341.820
4150,45277.730
4160,45240.063
4170,45234.270
4180,45233.816
4190,45216.645
4200,45205.645
4210,45207.273
4220,45523.953
4230,45330.750
4240,45260.605
4250,45215.938
4260,45201.496
4270,45214.418
4280,45209.891
4290,45219.406
4300,45231.887
4310,45223.148
4320,45211.000
4330,45213.289
4340,46356.445
4350,46037.398
4360,45505.711
4370,45304.516
4380,45245.680
4390,45222.348
4400,45199.797
4410,45208.414
4420,45196.688
4430,45191.945
4440,45193.148
4450,45195.387
4460,45190.113
4470,45377.520
4480,45250.949
4490,45199.551
4500,45193.125
4510,45182.152
4520,45177.770
4530,45189.457
4540,45191.648
4550,45204.609
4560,45197.504
4570,45202.273
4580,45192.469
4590,51467.840
4600,56163.578
4610,58076.453
4620,58621.324
4630,49801.039
4640,46897.941
4650,45814.543
4660,45423.398
4670,45301.090
4680,45232.465
4690,45219.332
4700,45206.234
4710,45212.719
4720,45208.441
4730,45207.430
4740,45221.051
4750,45508.703
4760,45307.180
4770,45223.941
4780,45190.840
4790,45188.633
4800,45195.359
4810,45203.141
4820,45208.566
4830,45212.805
4840,45202.172
4850,45196.078
4860,45209.973
4870,46929.051
4880,45885.438
4890,45446.406
4900,45294.238
4910,45232.613
4920,45197.281
4930,45205.949
4940,45199.855
4950,45188.496
4960,45181.426
4970,45190.461
4980,45193.441
4990,45186.590
5000,53971.699
5010,57019.656
5020,58409.023
5030,53068.234
5040,48029.738
5050,46224.492
5060,45545.680
5070,45310.977
5080,45216.074
5090,45188.742
5100,45187.082
5110,45175.910
5120,45178.492
5130,45182.145
5140,45177.051
5150,45567.258
5160,45321.750
5170,45228.047
5180,45184.637
5190,45167.109
5200,45164.324
5210,45149.402
5220,45167.488
5230,45160.957
5240,45152.953
5250,45176.043
5260,45176.730
5270,45181.672
5280,46259.020
5290,45577.063
5300,45327.285
5310,45226.363
5320,45180.113
5330,45166.461
5340,45155.414
5350,45161.859
5360,45168.723
5370,45165.344
5380,45155.895
5390,45155.988
5400,45573.313
5410,45329.207
5420,45226.063
5430,45195.258
5440,45193.895
5450,45173.699
5460,45193.020
5470,45197.402
5480,45191.746
5490,45177.555
5500,45194.355
5510,45192.215
5520,45973.031
5530,54830.305
5540,57580.023
5550,58649.898
5560,51822.820
5570,47617.285
5580,46058.422
5590,45495.645
5600,45280.633
5610,45213.879
5620,45190.500
5630,45182.883
5640,45172.336
5650,45169.105
5660,45179.055
5670,45179.137
5680,45468.566
5690,45278.914
5700,45200.469
5710,45181.223
5720,45170.965
5730,45189.965
5740,45203.199
5750,45184.512
5760,45180.027
5770,45178.527
5780,45180.422
5790,45193.273
5800,45689.102
5810,46166.902
5820,45552.617
5830,45300.781
5840,45218.520
5850,45193.238
5860,45175.332
5870,45182.438
5880,45177.262
5890,45162.617
5900,45170.289
5910,45185.195
5920,45192.625
5930,45447.672
5940,45281.922
5950,45229.938
5960,45213.664
5970,45220.043
5980,45201.539
5990,45198.535
6000,45190.480
6010,45196.133
6020,45196.824
6030,45195.684
6040,45198.012
6050,49843.160
6060,55555.473
6070,57905.633
6080,58537.160
6090,50724.879
6100,47246.703
6110,45958.617
6120,45491.918
6130,45310.387
6140,45255.699
6150,45212.090
6160,45175.309
6170,45180.520
6180,45194.816
6190,45179.273
6200,45178.828
6210,45390.988
6220,45275.285
6230,45198.918
6240,45198.516
6250,45182.664
6260,45179.215
6270,45162.012
6280,45166.320
6290,45161.266
6300,45160.133
6310,45159.012
6320,45168.160
6330,46500.367
6340,46005.211
6350,45489.336
6360,45278.617
6370,45210.043
6380,45186.863
6390,45170.180
6400,45172.086
6410,45183.555
6420,45162.055
6430,45161.246
6440,45144.379
6450,45149.590
6460,45370.148
6470,45244.680
6480,45202.527
6490,45179.465
6500,45160.000
6510,45157.539
6520,45154.809
6530,45158.344
6540,45179.523
6550,45181.074
6560,45173.715
6570,45176.500
6580,51368.211
6590,55998.070
6600,57927.801
6610,58571.883
6620,49690.340
6630,46836.574
6640,45789.688
6650,45394.898
6660,45246.176
6670,45192.852
6680,45181.578
6690,45162.160
6700,45159.426
6710,45162.461
6720,45169.879
6730,45158.059
6740,45426.480
6750,45261.723
6760,45203.324
6770,45167.520
6780,45161.652
6790,45154.441
6800,45145.906
6810,45144.906
6820,45155.918
6830,45142.656
6840,45149.449
6850,45148.277
6860,46881.152
6870,45812.320
6880,45415.324
6890,45261.090
6900,45198.945
6910,45156.559
6920,45140.738
6930,45148.367
6940,45149.961
6950,45149.516
6960,45156.348
6970,45157.172
6980,45153.176
6990,54100.617
7000,57102.113
7010,58303.789
7020,52692.609
7030,47912.602
7040,46169.926
7050,45537.668
7060,45278.395
7070,45216.602
7080,45169.930
7090,45171.984
7100,45171.570
7110,45180.047
7120,45166.363
7130,45143.934
7140,45602.578
7150,45322.141
7160,45214.754
7170,45186.270
7180,45175.082
7190,45147.371
7200,45139.656
7210,45130.199
7220,45140.715
7230,45144.676
7240,45145.469
7250,45141.355
7260,45146.023
7270,46178.867
7280,45526.355
7290,45294.512
7300,45204.551
7310,45163.832
7320,45151.426
7330,45163.270
7340,45157.195
7350,45171.766
7360,45160.801
7370,45166.441
7380,45161.684
7390,45537.188
7400,45290.133
7410,45228.621
7420,45174.477
7430,45151.293
7440,45144.223
7450,45154.566
7460,45154.883
7470,45161.305
7480,45159.727
7490,45159.496
7500,45159.813
7510,46439.430
7520,54925.676
7530,57482.516
7540,58364.113
7550,51362.531
7560,47418.973
7570,45986.539
7580,45437.859
7590,45254.957
7600,45182.891
7610,45160.488
7620,45131.957
7630,45135.383
7640,45131.668
7650,45125.742
7660,45133.961
7670,45440.133
7680,45238.734
7690,45173.020
7700,45152.492
7710,45163.918
7720,45152.309
7730,45153.520
7740,45160.055
7750,45155.391
7760,45152.930
7770,45153.195
7780,45154.789
7790,45911.246
7800,46045.895
7810,45468.320
7820,45267.969
7830,45208.273
7840,45161.711
7850,45141.668
7860,45141.215
7870,45148.938
7880,45142.746
7890,45145.348
7900,45155.773
7910,45156.387
7920,45478.781
7930,45272.586
7940,45205.281
7950,45177.461
7960,45156.898
7970,45172.426
7980,45175.527
7990,45160.961
8000,45148.082
8010,45147.793
8020,45154.879
8030,45154.477
8040,45507.172
8050,45306.539
8060,45220.828
8070,45179.816
8080,45160.926
8090,45168.469
8100,45174.867
8110,45167.020
8120,45164.293
8130,45157.730
8140,45167.727
8150,45164.133
8160,45332.246
8170,46097.047
8180,45513.320
8190,45288.914
8200,45200.945
8210,45171.914
8220,45157.855
8230,45163.285
8240,45148.188
8250,45156.625
8260,45143.922
8270,45159.422
8280,45154.473
8290,45492.648
8300,45285.672
8310,45203.375
8320,45168.883
8330,45172.277
8340,45173.793
8350,45169.441
8360,45169.949
8370,45153.121
8380,45166.852
8390,45159.668
8400,45161.512
8410,45242.301
8420,45192.438
8430,45152.074
8440,45170.953
8450,45177.613
8460,45156.547
8470,45157.902
8480,45181.090
8490,45182.590
8500,45175.824
8510,48461.652
8520,55793.180
8530,58355.125
8540,59149.555
8550,59529.723
8560,59606.355
8570,59749.613
8580,59762.125
8590,59796.184
8600,59832.031
8610,59829.543
8620,59821.047
8630,59864.332
8640,59880.840
8650,59882.430
8660,59905.078
8670,59941.141
8680,60005.164
8690,59972.270
8700,59895.340
8710,59856.609
8720,59862.262
8730,59838.078
